emoji,words,category
🦼,motorized wheelchair | accessibility | motorized | wheelchair,transport ground
🦽,manual wheelchair | accessibility | manual | wheelchair,transport ground
🦾,mechanical arm | accessibility | arm | mechanical,body parts
🦿,mechanical leg | accessibility | leg | mechanical,body parts
🧀,cheese wedge | cheese | wedge,food prepared
🧁,cupcake | bakery | dessert | sprinkles,food sweet
🧂,salt | condiment | flavor | mad,food prepared
🧃,beverage box | beverage | box | juice,drink
🧄,garlic | flavoring,food vegetable
🧅,onion | flavoring,food vegetable
🧆,falafel | chickpea | meatball,food prepared
🧇,waffle | breakfast | indecisive | iron,food prepared
🧈,butter | dairy,food prepared
🧉,mate | drink,drink
🧊,ice | cold | cube | iceberg,drink
🧋,bubble tea | boba | bubble | food,drink
🧌,troll | fairy | fantasy | monster,person fantasy
🧍,person standing | stand | standing,person activity
🧍‍♀,woman standing | stand | standing | woman,person activity
🧍‍♂,man standing | man | stand | standing,person activity
🧎,person kneeling | kneel | kneeling | knees,person activity
🧎‍♀,woman kneeling | kneel | kneeling | knees,person activity
🧎‍♀‍➡,facing | kneel | kneeling | knees,person activity
🧎‍♂,man kneeling | kneel | kneeling | knees,person activity
🧎‍♂‍➡,facing | kneel | kneeling | knees,person activity
🧎‍➡,facing | kneel | kneeling | knees,person activity
🧏,deaf person | accessibility | deaf | ear,person gesture
🧏‍♀,deaf woman | accessibility | deaf | ear,person gesture
🧏‍♂,deaf man | accessibility | deaf | ear,person gesture
🧐,face with monocle | classy | face | fancy,face glasses
🧑,adult,person
🧑‍⚕,health worker | doctor | health | healthcare,person role
🧑‍⚖,judge | justice | law | scales,person role
🧑‍✈,pilot | plane,person role
🧑‍🌾,farmer | gardener | rancher,person role
🧑‍🍳,cook | chef,person role
🧑‍🍼,person feeding baby | baby | feed | feeding,person role
🧑‍🎄,mx claus | celebration | christmas | claus,person fantasy
🧑‍🎓,student | graduate,person role
🧑‍🎤,singer | actor | entertainer | rock,person role
🧑‍🎨,artist | palette,person role
🧑‍🏫,teacher | instructor | lecturer | professor,person role
🧑‍🏭,factory worker | assembly | factory | industrial,person role
🧑‍💻,technologist | coder | computer | developer,person role
🧑‍💼,office worker | architect | business | manager,person role
🧑‍🔧,mechanic | electrician | plumber | tradesperson,person role
🧑‍🔬,scientist | biologist | chemist | engineer,person role
🧑‍🤝‍🧑,people holding hands | bae | bestie | bff,family
🧑‍🦯,person with white cane | accessibility | blind | cane,person activity
🧑‍🦯‍➡,accessibility | blind | cane | facing,person activity
🧑‍🦰,adult | red hair,person
🧑‍🦱,adult | curly hair,person
🧑‍🦲,adult | bald,person
🧑‍🦳,adult | white hair,person
🧑‍🦼,person in motorized wheelchair | accessibility | motorized | wheelchair,person activity
🧑‍🦼‍➡,accessibility | facing | motorized | right,person activity
🧑‍🦽,person in manual wheelchair | accessibility | manual | wheelchair,person activity
🧑‍🦽‍➡,accessibility | facing | manual | right,person activity
🧑‍🧑‍🧒,adult | child | family,person symbol
🧑‍🧑‍🧒‍🧒,adult | child | family,person symbol
🧑‍🧒,adult | child | family,person symbol
🧑‍🧒‍🧒,adult | child | family,person symbol
🧑‍🩰,ballet dancer | ballet | dancer,person activity
🧑‍🚀,astronaut | rocket | space,person role
🧑‍🚒,firefighter | fire | firetruck,person role
🧒,child | bright-eyed | grandchild | kid,person
🧓,older person | adult | elderly | grandparent,person
🧔,beard | bearded | whiskers,person
🧔‍♀,beard | bearded | whiskers | woman,person
🧔‍♂,beard | bearded | man | whiskers,person
🧕,woman with headscarf | bandana | head | headscarf,person role
🧖,person in steamy room | day | luxurious | pamper,person activity
