emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
🇮🇨,flag: Canary Islands,flag,flag: Canary Islands | flag,country flag,Flags,country-flag,flag: Canary Islands
🇮🇩,flag: Indonesia,flag,flag: Indonesia | flag,country flag,Flags,country-flag,flag: Indonesia
🇮🇪,flag: Ireland,flag,flag: Ireland | flag,country flag,Flags,country-flag,flag: Ireland
🇮🇱,flag: Israel,flag,flag: Israel | flag,country flag,Flags,country-flag,flag: Israel
🇮🇲,flag: Isle of Man,flag,flag: Isle of Man | flag,country flag,Flags,country-flag,flag: Isle of Man
🇮🇳,flag: India,flag,flag: India | flag,country flag,Flags,country-flag,flag: India
🇮🇴,flag: British Indian Ocean Territory,flag,flag: British Indian Ocean Territory | flag,country flag,Flags,country-flag,flag: British Indian Ocean Territory
🇮🇶,flag: Iraq,flag,flag: Iraq | flag,country flag,Flags,country-flag,flag: Iraq
🇮🇷,flag: Iran,flag,flag: Iran | flag,country flag,Flags,country-flag,flag: Iran
🇮🇸,flag: Iceland,flag,flag: Iceland | flag,country flag,Flags,country-flag,flag: Iceland
🇮🇹,flag: Italy,flag,flag: Italy | flag,country flag,Flags,country-flag,flag: Italy
🇯🇪,flag: Jersey,flag,flag: Jersey | flag,country flag,Flags,country-flag,flag: Jersey
🇯🇲,flag: Jamaica,flag,flag: Jamaica | flag,country flag,Flags,country-flag,flag: Jamaica
🇯🇴,flag: Jordan,flag,flag: Jordan | flag,country flag,Flags,country-flag,flag: Jordan
🇯🇵,flag: Japan,flag,flag: Japan | flag,country flag,Flags,country-flag,flag: Japan
🇰🇪,flag: Kenya,flag,flag: Kenya | flag,country flag,Flags,country-flag,flag: Kenya
🇰🇬,flag: Kyrgyzstan,flag,flag: Kyrgyzstan | flag,country flag,Flags,country-flag,flag: Kyrgyzstan
🇰🇭,flag: Cambodia,flag,flag: Cambodia | flag,country flag,Flags,country-flag,flag: Cambodia
🇰🇮,flag: Kiribati,flag,flag: Kiribati | flag,country flag,Flags,country-flag,flag: Kiribati
🇰🇲,flag: Comoros,flag,flag: Comoros | flag,country flag,Flags,country-flag,flag: Comoros
🇰🇳,flag: St. Kitts & Nevis,flag,flag: St. Kitts & Nevis | flag,country flag,Flags,country-flag,flag: St. Kitts & Nevis
